Category,Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
accessory,switch_pro_zelda,https://store.nintendo.nl/nl/nintendo-switch-pro-controller-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009831,000000000010009831,name,Nintendo Switch-Pro-controller (The Legend of Zelda: Tears of the Kingdom Edition),https://schema.org/name,description,Deze Nintendo Switch-Pro-controller heeft een design dat is geïnspireerd door The Legend of Zelda: Tears of the Kingdom.,https://schema.org/description,sku,000000000010009831,https://schema.org/sku,price,74.99,https://store.nintendo.nl/nl/nintendo-switch-pro-controller-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009831,image,MNS/NOE/000000000010009831/1.1_ProductTile_Switch_Accessories_TLoZ_TearsOfTheKingdom_Controlllers_enNOE,https://store.nintendo.nl/nl/nintendo-switch-pro-controller-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009831
"games,new_product",Pikmin4,https://store.nintendo.nl/nl/pikmin-4-70010000005306,70010000005306,name,Pikmin 4,https://schema.org/name,description,Er bloeit een nieuw avontuur op!,https://schema.org/description,sku,70010000005306,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/pikmin-4-70010000005306,image,MNS/NOE/70010000005306/1.1_ProductTile_Switch_Pikmin4_KeyArt_EN_NOE,https://store.nintendo.nl/nl/pikmin-4-70010000005306
games,Pokemon_scarlet,https://store.nintendo.nl/nl/pokemon-scarlet-70010000053967,70010000053967,name,Pokémon Scarlet,https://schema.org/name,description,"Pokémon Scarlet en Pokémon Violet, de nieuwste avonturen in de Pokémon-serie, komen op 18 november naar de Nintendo Switch.",https://schema.org/description,sku,70010000053967,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/pokemon-scarlet-70010000053967,image,MNS/NOE/70010000053967/1.1_ProductTile_Switch_PokemonScarlet_KeyArt_enNOE,https://store.nintendo.nl/nl/pokemon-scarlet-70010000053967
games,Pokemon_violet,https://store.nintendo.nl/nl/pokemon-violet-70010000053972,70010000053972,name,Pokémon Violet,https://schema.org/name,description,"Pokémon Scarlet en Pokémon Violet, de nieuwste avonturen in de Pokémon-serie, komen op 18 november naar de Nintendo Switch.",https://schema.org/description,sku,70010000053972,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/pokemon-violet-70010000053972,image,MNS/NOE/70010000053972/1.1_ProductTile_Switch_PokemonViolet_KeyArt_enNOE,https://store.nintendo.nl/nl/pokemon-violet-70010000053972
"games,new_product,franchise",Mario RPG,https://store.nintendo.nl/nl/super-mario-rpg-70010000068684,70010000068684,name,Super Mario RPG,https://schema.org/name,description,Wensen kunnen uitkomen in Super Mario RPG!,https://schema.org/description,sku,70010000068684,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/super-mario-rpg-70010000068684,image,cy8wur42yx7whppsn4tt,https://store.nintendo.nl/nl/super-mario-rpg-70010000068684
games,Animal Crossing: New Horizons,https://store.nintendo.nl/nl/animal-crossing-new-horizons-70010000027620,70010000027620,name,Animal Crossing: New Horizons,https://schema.org/name,description,"Als de drukte van het moderne leven je te pakken krijgt, heeft Tom Nook een zakelijke onderneming in zijn mouw waarvan hij weet dat je het geweldig zult vinden: zijn gloednieuwe, ultra-exclusieve Nook Inc. Eilandleven-pakket!",https://schema.org/description,sku,70010000027620,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/animal-crossing-new-horizons-70010000027620,image,MNS/NOE/70010000027620/1.1_2000x2000_ProductTile_Switch_AnimalCrossingNewHorizons_KeyVisual_enGB_v1_100q,https://store.nintendo.nl/nl/animal-crossing-new-horizons-70010000027620
"games,new_product",Metroid Prime Remastered,https://www.nintendo.nl/Games/Nintendo-Switch-games/Metroid-Prime-Remastered-2341668.html,P00105,name,Metroid Prime Remastered,https://schema.org/name,description,De koelbloedige en bedreven Samus gaat deze missie in haar eentje aan… maar ze is alles behalve alleen.,https://schema.org/description,sku,P00105,https://schema.org/sku,price,39.99,https://store.nintendo.nl/nl/metroid-prime-remastered-P00105,image,,https://store.nintendo.nl/nl/metroid-prime-remastered-P00105
"games,new_product",Minecraft Legends Deluxe Edition,https://store.nintendo.nl/nl/minecraft-legends-deluxe-edition-P00106,P00106,name,Minecraft Legends Deluxe Edition,https://schema.org/name,description,De Nether-corruptie van de Piglins verspreidt zich over de Bovenwereld en verschroeit alles wat het aanraakt.,https://schema.org/description,sku,P00106,https://schema.org/sku,price,49.99,https://store.nintendo.nl/nl/minecraft-legends-deluxe-edition-P00106,image,MNS/NOE/P00106/1.1_ProductTile_Switch_MinecraftLegendsDeluxeEdition_Packshots_EN_NOE_New,https://store.nintendo.nl/nl/minecraft-legends-deluxe-edition-P00106
games,Kirby's Return to Dream Land Deluxe,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-70010000058798,70010000058798,name,Kirby's Return to Dream Land Deluxe,https://schema.org/name,description,Er komt een luxe versie van Kirby's Adventure Wii!,https://schema.org/description,sku,70010000058798,https://schema.org/sku,price,59.99,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-70010000058798,image,MNS/NOE/70010000058798/1.1_ProductTile_amiibo_kirbys return to dreamland deluxe_BeautyShot_NOE,https://store.nintendo.nl/nl/kirbys-return-to-dream-land-deluxe-70010000058798
games,Uitbreidingspas Fire Emblem Engage,https://store.nintendo.nl/nl/uitbreidingspas-fire-emblem-engage-P00102,P00102,name,Uitbreidingspas Fire Emblem Engage,https://schema.org/name,description,Met de Fire Emblem Engage-uitbreidingspas kun je nieuwe Emblem-helden gebruiken en nieuwe gevechten aangaan.,https://schema.org/description,sku,P00102,https://schema.org/sku,price,29.99,https://store.nintendo.nl/nl/uitbreidingspas-fire-emblem-engage-P00102,image,MNS/NOE/P00102/1.1_ProductTile_Switch_FireEmblemEngageExpansionPass_KeyArt_NL_NOE,https://store.nintendo.nl/nl/uitbreidingspas-fire-emblem-engage-P00102
